id,spec,lat,long,sp10.1,sp10.2,sp10.3,sp14.1,sp14.2,morph,inguinal_scute
508,CAS 43450,35.195,119.29639,CCR,marm,SJ,NA,NA,NA,1
509,KDA 0027,35.1863,119.984633,CCR,CCR,CCR,pall,pall,NA,0
510,KDA 0028,35.1863,119.984633,CCR,CCR,CCR,pall,pall,NA,0
511,KDA 0029,35.1863,119.984633,CCR,CCR,CCR,pall,pall,NA,1
512,KDA 0030,35.1863,119.984633,CCR,CCR,CCR,pall,pall,NA,0
513,KDA 0031,35.1863,119.984633,CCR,CCR,CCR,pall,pall,NA,0
514,MSE SSS 31498,35.144792,120.181512,CCR,CCR,CCR,pall,pall,NA,NA
515,MSE SSS 31499,35.144792,120.181512,CCR,CCR,CCR,pall,pall,NA,NA
516,MSE 22297,35.14369,120.02718,CCR,CCR,CCR,pall,pall,NA,0
517,KDA 0033,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,NA
518,KDA 0034,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,NA
519,KDA 0035,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,NA
520,KDA 0036,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,NA
521,KDA 0037,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,NA
522,KDA 0038,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,NA
523,KDA 0039,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,NA
524,KDA 0041,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,NA
525,KDA 0042,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
526,KDA 0043,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
527,KDA 0044,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,NA
528,KDA 0045,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
529,KDA 0046,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
530,KDA 0047,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
531,KDA 0048,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
532,KDA 0049,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,NA
533,KDA 0051,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
534,KDA 0052,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
535,KDA 0053,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
536,KDA 0054,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,NA
537,KDA 0055,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
538,KDA 0056,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
539,KDA 0057,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
540,KDA 0058,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
541,KDA 0059,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
542,KDA 0060,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
543,KDA 0061,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
544,KDA 0062,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
545,KDA 0063,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
546,KDA 0040,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,NA
547,KDA 0050,35.14346667,120.0266833,CCR,CCR,CCR,pall,pall,NA,0
548,MSE 25555,35.121268,120.212471,CCR,CCR,CCR,pall,pall,NA,1
549,CAS 188529,35.1028,120.1075,CCR,CCR,CCR,pall,pall,NA,0
550,MSE 12758,35.064739,120.172683,CCR,CCR,CCR,pall,pall,NA,NA
553,MVZ 187675,35.0223885999999,120.2263944,marm,marm,SJ,marm,Foothill,NA,NA
555,MSE 23947,35.0211,120.1149,CCR,CCR,CCR,pall,pall,NA,NA
556,MSE 93-153,34.997639,120.333128,CCR,CCR,CCR,pall,pall,NA,0
557,NMNH 59765,34.9863888889,-119.793333333,CCR,CCR,CCR,pall,pall,NA,1
558,SDMNH 62528,34.984809,120.388343,CCR,CCR,CCR,pall,pall,NA,0
560,MSE 10915,34.946528,120.105929,CCR,CCR,CCR,pall,pall,NA,0
561,MSE 23949,34.944761,120.11016,CCR,CCR,CCR,pall,pall,NA,NA
562,MSE 23547,34.942286,120.11641,CCR,CCR,CCR,pall,pall,NA,NA
563,MSE 23548,34.942286,120.11641,CCR,CCR,CCR,pall,pall,NA,NA
564,MSE 23549,34.942286,120.11641,CCR,CCR,CCR,pall,pall,NA,NA
565,LACM 23488,34.907827,120.230385,CCR,CCR,CCR,pall,pall,NA,0
567,SDMNH 17135,34.904927,116.732036,pall,pall,pall,pall,pall,pall,0
568,SDMNH 17136,34.904927,116.732036,pall,pall,pall,pall,pall,pall,0
569,MSE 12759-SSS 24366,34.903056,120.3125,CCR,CCR,CCR,pall,pall,NA,1
570,MSE 12760,34.903056,120.3125,CCR,CCR,CCR,pall,pall,NA,NA
571,MSE 12761,34.903056,120.3125,CCR,CCR,CCR,pall,pall,NA,NA
573,MSE 29079,34.78531,120.525012,CCR,CCR,CCR,pall,pall,NA,0
574,MSE 95-93,34.783875,120.539884,CCR,CCR,CCR,pall,pall,NA,0
575,SDMNH 59680,34.781008,120.588676,CCR,CCR,CCR,pall,pall,NA,NA
577,SDMNH 64415,34.781008,120.588676,CCR,CCR,CCR,pall,pall,NA,1
578,MSE 28488,34.777037,120.553927,CCR,CCR,CCR,pall,pall,NA,0
579,MSE 28425,34.776186,120.571241,CCR,CCR,CCR,pall,pall,NA,NA
580,MSE 15190,34.7744,119.5737,CCR,CCR,CCR,pall,pall,NA,0
581,MSE 15191,34.7744,119.5737,CCR,CCR,CCR,pall,pall,NA,0
582,MSE 05-24,34.767488,120.522617,CCR,CCR,CCR,pall,pall,NA,0
583,MSE 28423,34.767488,120.522617,CCR,CCR,CCR,pall,pall,NA,1
584,SDMNH 58516,34.724118,120.509087,CCR,CCR,CCR,pall,pall,NA,1
585,SDMNH 58517,34.724118,120.509087,CCR,CCR,CCR,pall,pall,NA,0
586,MSE 28447,34.714226,120.502489,CCR,CCR,CCR,pall,pall,NA,0
587,MSE 12763,34.7047,119.3837,CCR,CCR,CCR,pall,pall,NA,0
588,KDA 0015,34.69515,118.8548,CCR,CCR,CCR,pall,pall,NA,NA
589,KDA 0016,34.69515,118.8548,CCR,CCR,CCR,pall,pall,NA,NA
590,KDA 0017,34.69515,118.8548,CCR,CCR,CCR,pall,pall,NA,0
591,KDA 0018,34.69515,118.8548,CCR,CCR,CCR,pall,pall,NA,0
592,KDA 0019,34.69515,118.8548,CCR,CCR,CCR,pall,pall,NA,0
593,KDA 0020,34.6941,118.8578167,CCR,CCR,CCR,pall,pall,NA,0
594,KDA 0021,34.6941,118.8578167,CCR,CCR,CCR,pall,pall,NA,0
595,KDA 0022,34.6941,118.8578167,CCR,CCR,CCR,pall,pall,NA,0
596,KDA 0023,34.6941,118.8578167,CCR,CCR,CCR,pall,pall,NA,1
597,KDA 0024,34.6941,118.8578167,CCR,CCR,CCR,pall,pall,NA,0
598,KDA 0025,34.6941,118.8578167,CCR,CCR,CCR,pall,pall,NA,1
599,KDA 0014,34.6865,118.8465833,CCR,CCR,CCR,pall,pall,NA,1
600,KDA 0011,34.68151667,118.8415,CCR,CCR,CCR,pall,pall,NA,0
601,KDA 0012,34.68151667,118.8415,CCR,CCR,CCR,pall,pall,NA,1
602,KDA 0013,34.68151667,118.8415,CCR,CCR,CCR,pall,pall,NA,1
603,KDA 0007,34.67995,118.8387667,CCR,CCR,CCR,pall,pall,NA,0
604,KDA 0008,34.67995,118.8387667,CCR,CCR,CCR,pall,pall,NA,0
605,KDA 0009,34.67995,118.8387667,CCR,CCR,CCR,pall,pall,NA,0
606,KDA 0010,34.67995,118.8387667,CCR,CCR,CCR,pall,pall,NA,1
607,KDA 0006,34.675,118.8370667,CCR,CCR,CCR,pall,pall,NA,1
608,KDA 0002,34.67335,118.8355667,CCR,CCR,CCR,pall,pall,NA,1
609,KDA 0003,34.67335,118.8355667,CCR,CCR,CCR,pall,pall,NA,0
610,KDA 0004,34.67335,118.8355667,CCR,CCR,CCR,pall,pall,NA,0
611,KDA 0005,34.67335,118.8355667,CCR,CCR,CCR,pall,pall,NA,0
612,KDA 0001,34.673,118.8374833,CCR,CCR,CCR,pall,pall,NA,1
613,MSE 14843-SSS 25868,34.651602,120.312195,CCR,CCR,CCR,pall,pall,NA,0
614,MSE 12236,34.611473,118.769158,CCR,CCR,CCR,pall,pall,NA,0
615,MSE No #,34.59927,120.555313,CCR,CCR,CCR,pall,pall,NA,0
616,CAS 13898,34.5847,119.2678,CCR,CCR,CCR,pall,pall,NA,1
617,MVZ 129928,34.5815868999999,120.1073746,CCR,CCR,CCR,pall,pall,NA,NA
618,MSE 13360,34.577047,118.938298,CCR,CCR,CCR,pall,pall,NA,0
619,MSE 12762,34.574995,119.163852,CCR,CCR,CCR,pall,pall,NA,0
620,MSE 10910,34.5629798492399,119.660682678222,CCR,CCR,CCR,pall,pall,NA,0
621,MSE 10911,34.5629798492399,119.660682678222,CCR,CCR,CCR,pall,pall,NA,0
622,MSE 10912,34.5629798492399,119.660682678222,CCR,CCR,CCR,pall,pall,NA,0
623,MSE 10913-SSS 22238,34.5629798492399,119.660682678222,CCR,CCR,CCR,pall,pall,NA,0
624,LACM 74388,34.5611,119.164,CCR,CCR,CCR,pall,pall,NA,0
625,MSE 13103,34.547559,118.769981,CCR,CCR,CCR,pall,pall,NA,0
626,LACM 149100,34.54667,118.518847,CCR,CCR,CCR,pall,pall,NA,NA
628,CAS 13894,34.5417,118.7633,CCR,CCR,CCR,pall,pall,NA,0
629,MSE 27687,34.537003,118.759076,CCR,CCR,CCR,pall,pall,NA,0
630,MSE 27688,34.537003,118.759076,CCR,CCR,CCR,pall,pall,NA,NA
631,MSE 10914,34.529029,119.700302,CCR,CCR,CCR,pall,pall,NA,0
632,MSE 27621,34.529029,119.700302,CCR,CCR,CCR,pall,pall,NA,0
633,MSE 27690,34.529029,119.700302,CCR,CCR,CCR,pall,pall,NA,NA
634,MSE 10909,34.5241311121841,119.692482948303,CCR,CCR,CCR,pall,pall,NA,NA
635,SBMNH 1271,34.523805,119.629822,CCR,CCR,CCR,pall,pall,NA,0
636,MSE 15189,34.513927,120.485369,CCR,CCR,CCR,pall,pall,NA,0
637,SBMNH 1440,34.511994,120.467693,CCR,CCR,CCR,pall,pall,NA,1
638,MSE 29080,34.511369,120.501783,CCR,CCR,CCR,pall,pall,NA,0
639,MSE 10120,34.507759,119.577467,CCR,CCR,CCR,pall,pall,NA,1
640,MSE 27694,34.507152,119.824972,CCR,CCR,CCR,pall,pall,NA,0
641,MSE 18171,34.50491,120.499387,CCR,CCR,CCR,pall,pall,NA,0
642,MSE 12155,34.500494,119.565538,CCR,CCR,CCR,pall,pall,NA,0
643,MSE 10001,34.494514,119.330126,CCR,CCR,CCR,pall,pall,NA,1
644,MSE 10002,34.494514,119.330126,CCR,CCR,CCR,pall,pall,NA,1
645,MSE 10906,34.494514,119.330126,CCR,CCR,CCR,pall,pall,NA,NA
646,MSE 10907,34.4910299946658,119.54528331,CCR,CCR,CCR,pall,pall,NA,NA
647,MSE 10908,34.4910299946658,119.54528331,CCR,CCR,CCR,pall,pall,NA,NA
648,KDA 0026,34.48658333,119.5240167,CCR,CCR,CCR,pall,pall,NA,0
649,SBMNH 241,34.483975,120.23135,CCR,CCR,CCR,pall,pall,NA,0
650,LACM 27646,34.476869,118.943411,CCR,CCR,CCR,pall,pall,NA,0
653,LACM 61184,34.476869,118.943411,CCR,CCR,CCR,pall,pall,NA,0
657,LACM 23491,34.453533,118.924763,CCR,CCR,CCR,pall,pall,NA,0
658,CAS 50473,34.4389,118.9267,CCR,CCR,CCR,pall,pall,NA,0
659,LACM 7996,34.425477,118.930212,CCR,CCR,CCR,pall,pall,NA,0
660,SBMNH 395,34.418927,119.845242,CCR,CCR,CCR,pall,pall,NA,NA
661,MSE 9184,34.413333,119.875556,CCR,CCR,CCR,pall,pall,NA,0
662,MSE 12985,34.411682,119.88296,CCR,CCR,CCR,pall,pall,NA,0
664,CAS 13895,34.3972,119.2882,CCR,CCR,CCR,pall,pall,NA,0
666,LACM 127423,34.386109,118.953664,CCR,CCR,CCR,pall,pall,NA,1
667,MSE 12235,34.38,118.954722,CCR,CCR,CCR,pall,pall,NA,0
668,LACM 105321,34.361424,119.319279,CCR,CCR,CCR,pall,pall,NA,0
669,MSE 19558,34.354783,119.31017,CCR,CCR,CCR,pall,pall,NA,0
670,MSE 26667,34.354049,19.022393,CCR,CCR,CCR,pall,pall,NA,0
671,MSE 96-78,34.315082,119.094865,CCR,CCR,CCR,pall,pall,NA,0
672,MSE 27691,34.301385,119.111419,CCR,CCR,CCR,pall,pall,NA,0
673,MSE 95-82,34.295525,119.306505,CCR,CCR,CCR,pall,pall,NA,0
674,SBMNH 422,34.275348,119.309413,CCR,CCR,CCR,pall,pall,NA,0
675,LACM 27649,34.262382,117.889262,pall,pall,pall,pall,pall,pall,0
677,LACM 23492,34.1403,118.8587,CCR,CCR,CCR,pall,pall,NA,0
678,LACM 23524,34.09476,118.62052,pall,pall,pall,pall,pall,pall,0
680,LACM 7999,34.055299,118.244647,pall,pall,pall,pall,NA,pall,0
681,NMNH 55548,34.055299,118.244647,pall,pall,pall,pall,NA,pall,1
682,NMNH 217291,34.055299,118.244647,pall,pall,pall,pall,NA,pall,0
684,FMNH 211580,34.011697,118.495727,pall,pall,pall,pall,NA,pall,0
685,"FMNH 2489 ""a""",33.953411,117.395931,pall,pall,pall,pall,NA,pall,0
686,"FMNH 2489 ""b""",33.953411,117.395931,pall,pall,pall,pall,NA,pall,0
687,FMNH 22075,33.953411,117.395931,pall,pall,pall,pall,NA,pall,NA
688,FMNH 22076,33.953411,117.395931,pall,pall,pall,pall,NA,pall,NA
690,LACM 27651,33.9347,117.7926,pall,pall,pall,pall,NA,pall,0
691,MVZ 6713,33.810366,118.074744,pall,pall,pall,pall,NA,pall,0
692,MVZ 6714,33.810366,118.074744,pall,pall,pall,pall,NA,pall,0
693,MVZ 6715,33.810366,118.074744,pall,pall,pall,pall,NA,pall,NA
694,MVZ 6717,33.810366,118.074744,pall,pall,pall,pall,NA,pall,0
698,LACM 105309,33.802574,118.094116,pall,pall,pall,pall,NA,pall,0
700,CAS 8635,33.75639,118.18806,pall,pall,pall,pall,NA,pall,NA
707,LACM 105318,33.684476,117.272953,pall,pall,pall,pall,NA,pall,0
708,LACM 105315,33.522585,117.70769,pall,pall,pall,pall,NA,pall,0
709,LACM 105316,33.519714,117.675566,pall,pall,pall,pall,NA,pall,0
710,LACM 138632,33.5105,117.7533,pall,pall,pall,pall,NA,pall,NA
711,NMNH 55549,33.5105,117.7533,pall,pall,pall,pall,NA,pall,1
712,NMNH 55550,33.5105,117.7533,pall,pall,pall,pall,NA,pall,0
715,LACM 105324,33.380553,117.305095,pall,pall,pall,pall,NA,pall,0
716,LACM 105319,33.360313,117.283617,pall,pall,pall,pall,NA,pall,0
717,LACM 105325,33.35624,117.312476,pall,pall,pall,pall,NA,pall,0
718,LACM 152503,33.330844,117.334505,pall,pall,pall,pall,NA,pall,0
719,LACM 152505,33.330844,117.334505,pall,pall,pall,pall,NA,pall,0
720,LACM 152564,33.330844,117.334505,pall,pall,pall,pall,NA,pall,0
724,LACM 152566,33.330844,117.334505,pall,pall,pall,pall,NA,pall,NA
725,SDMNH 46018,33.323755,117.494948,pall,pall,pall,pall,NA,pall,0
726,SDMNH 46019,33.323755,117.494948,pall,pall,pall,pall,NA,pall,0
727,SDMNH 46020,33.323755,117.494948,pall,pall,pall,pall,NA,pall,0
728,SDMNH 46021,33.323755,117.494948,pall,pall,pall,pall,NA,pall,NA
739,SDMNH 46098,33.045501,117.228007,pall,pall,pall,pall,NA,pall,1
740,SDMNH 68948,32.968702,116.680933,pall,pall,pall,pall,NA,pall,0
746,NMNH 10687,32.715343,117.155313,pall,pall,pall,pall,NA,pall,1
747,SDMNH 68966,32.682,116.6253,pall,pall,pall,pall,NA,pall,1
750,SDMNH 14217,32.604957,116.612482,pall,pall,pall,pall,NA,pall,1
751,SDMNH 14218,32.604957,116.612482,pall,pall,pall,pall,NA,pall,1
752,SDMNH 14219,32.604957,116.612482,pall,pall,pall,pall,NA,pall,0
753,NMNH 22052,32.550842,116.797637,pall,pall,pall,pall,NA,pall,1
754,SDMNH 43635,32.154727,115.789368,pall,pall,pall,pall,NA,pall,0
756,LACM 105322,31.893969,116.599001,pall,pall,pall,pall,NA,pall,0
757,MVZ 10494,31.3842,115.7879,pall,pall,pall,pall,Baja,pall,1
760,MVZ 207761,31.1125,115.8336111,pall,pall,pall,pall,Baja,pall,0
763,MVZ 9818,30.9728,116.1242,pall,pall,pall,pall,Baja,pall,0
764,MVZ 9819,30.9728,116.1242,pall,pall,pall,pall,Baja,pall,0
765,CAS 56884,30.9167,115.6357,pall,pall,pall,pall,Baja,pall,1
766,CAS 56885,30.9167,115.6357,pall,pall,pall,pall,Baja,pall,1
769,CAS 138885,30.3092,115.1667,pall,pall,pall,pall,Baja,pall,1
