id,spec,lat,long,sp10.1,sp10.2,sp10.3,sp14.1,sp14.2,morph,inguinal_scute
168,MVZ 98782,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
169,MVZ 98783,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
170,MVZ 98784,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
171,MVZ 98785,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
172,MVZ 98786,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
174,MVZ 98788,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
175,MVZ 98789,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
176,MVZ 98790,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
177,MVZ 98791,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
178,MVZ 98792,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
179,MVZ 98793,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
185,MVZ 111295,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
186,MVZ 111296,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
187,MVZ 111297,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
190,MVZ 98734,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
191,MVZ 98781,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
192,MVZ 98738,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,1
193,MVZ 98739,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,NA
194,MVZ 98740,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,NA
196,MVZ 98742,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,1
197,MVZ 98743,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,1
198,MVZ 98755,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,1
199,MVZ 98756,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,NA
200,MVZ 98757,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,NA
201,MVZ 98758,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,1
202,MVZ 98759,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,NA
203,MVZ 98760,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,1
204,MVZ 98761,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,1
205,MVZ 98762,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,1
206,MVZ 98764,40.4691869999999,123.1693496,marm,marm,marm,marm,marm,marm,NA
207,MVZ 14605,40.4251158,123.4786419,marm,marm,marm,marm,marm,marm,1
208,MVZ 14606,40.4106692,123.4786034,marm,marm,marm,marm,marm,marm,1
210,MVZ 14608,40.4106692,123.4786034,marm,marm,marm,marm,marm,marm,1
211,MVZ 14601,40.4048453999999,123.464450799999,marm,marm,marm,marm,marm,marm,1
212,MVZ 14602,40.4048453999999,123.464450799999,marm,marm,marm,marm,marm,marm,1
213,MVZ 14603,40.4048453999999,123.464450799999,marm,marm,marm,marm,marm,marm,1
214,MVZ 14604,40.4048453999999,123.464450799999,marm,marm,marm,marm,marm,marm,1
216,MVZ 3822,40.355192,122.1741371,marm,marm,marm,marm,marm,marm,1
218,MVZ 9965,40.3152626999999,122.0691489,marm,marm,marm,marm,marm,marm,1
220,MVZ 9967,40.3152626999999,122.0691489,marm,marm,marm,marm,marm,marm,1
222,MVZ 3821,40.1877799999999,123.04528,marm,marm,marm,marm,marm,marm,1
224,CAS 227011,40.08303,121.6909,marm,marm,marm,marm,marm,marm,1
227,CAS 220677,39.90536,123.06442,marm,marm,marm,marm,marm,marm,1
228,CAS 207170,39.8807,122.3762,marm,marm,marm,marm,marm,marm,1
230,CAS 203487,39.82425,123.1945556,marm,marm,marm,marm,NA,marm,1
231,CAS 208851,39.81699,123.23998,marm,marm,marm,marm,NA,marm,1
232,CAS 209927,39.72261,121.36349,marm,marm,marm,marm,NA,marm,1
233,CAS 209134,39.62461,122.87522,marm,marm,marm,marm,NA,marm,1
234,CAS 212690,39.6,122.59356,marm,marm,marm,marm,NA,marm,1
235,LSUMZ 29562,39.58639,122.53139,marm,marm,marm,marm,NA,marm,1
240,MVZ 45601,39.5274038,123.4006151,marm,marm,marm,marm,NA,marm,0
241,JRB 0048,39.51975,122.006736,marm,marm,marm,marm,NA,marm,1
243,CAS 201250,39.42639,122.97828,marm,marm,marm,marm,NA,marm,1
244,MVZ 187674,39.4094673,123.5021747,marm,marm,SJ,marm,Foothill,NA,NA
245,CAS 212560,39.40697,122.63481,marm,marm,marm,marm,NA,marm,1
246,CAS 207045,39.3729,121.0967,marm,marm,marm,marm,NA,marm,1
249,CAS 212573,39.34828,122.65944,marm,marm,marm,marm,NA,marm,1
250,NMNH 288132,39.3169444444,123.308333333,marm,marm,marm,marm,NA,marm,1
254,CAS 212733,39.28964,122.56478,marm,marm,marm,marm,NA,marm,1
255,CAS 212755,39.28172,122.61897,marm,marm,marm,marm,NA,marm,1
256,CAS 212708,39.26953,122.59154,marm,marm,marm,marm,NA,marm,1
257,MVZ 8558,39.2677900999999,123.364800399999,marm,marm,marm,marm,NA,marm,1
258,CAS 209175,39.25889,122.93666,marm,marm,marm,marm,NA,marm,1
261,CAS 203667,39.25,122.95,marm,marm,marm,marm,NA,marm,1
262,CAS 188532,39.2486,121.07923,marm,marm,marm,marm,NA,marm,1
265,JRB 0191,39.218072,122.007964,marm,marm,marm,marm,NA,marm,1
270,JRB unnumbered marm d,39.1563888889,122.44194444,marm,marm,marm,marm,NA,marm,1
273,NMNH 288133,39.073421,122.78712,marm,marm,marm,marm,NA,marm,1
275,CAS 188533,39.0132,122.357,marm,marm,marm,marm,NA,marm,1
276,CAS 188539,39.00688,123.36003,marm,marm,marm,marm,NA,marm,1
278,LSUMZ 12585,38.989394,123.4333,marm,marm,marm,marm,NA,marm,1
279,MVZ 77998,38.9174908,122.3474562,marm,marm,marm,marm,NA,marm,1
280,LSUMZ 16354,38.90347,122.63833,marm,marm,marm,marm,NA,marm,1
281,LSUMZ 16355,38.90347,122.63833,marm,marm,marm,marm,NA,marm,1
284,MVZ 149676,38.8392403,122.3890987,marm,marm,marm,marm,NA,marm,0
287,MVZ 149679,38.8392403,122.3890987,marm,marm,SJ,marm,Foothill,NA,1
290,MVZ 164996,38.8392403,122.3890987,marm,marm,SJ,marm,Foothill,NA,1
292,MVZ 208232,38.8370919999999,122.360292,marm,marm,marm,marm,NA,marm,1
298,MVZ 44631,38.637351,121.19781,marm,marm,marm,marm,NA,marm,1
301,CAS 154955,38.566667,122.7,marm,marm,marm,marm,NA,marm,NA
